Source_Material,Outcome,Specimen_Storage_Time_Comparison,ICC_adjusted,ICC_adjusted_CI_lower,ICC_adjusted_CI_upper
Saliva,RA_clr_Veillonella,1 Month,0.9192862629447,0.820529874947757,0.970216087456535
Saliva,RA_clr_Veillonella,12 Months,0.881731042274836,0.683707113408774,0.947570045631575
Saliva,RA_clr_Veillonella,5 Years,0.813320766695208,0.586598570760923,0.9111687975828
Saliva,RA_clr_Gemella,1 Month,0.826469409521668,0.539949955446191,0.941540278242379
Saliva,RA_clr_Gemella,12 Months,0.75118824367218,0.343167426650634,0.907512855212552
Saliva,RA_clr_Gemella,5 Years,0.696216575320376,0.326297870965429,0.85792637655737
Saliva,RA_clr_Actinomyces,1 Month,0.422948369901206,0.0017650676908845,0.734425633795143
Saliva,RA_clr_Actinomyces,12 Months,0.538708430900176,0.171862313572441,0.795724104717628
Saliva,RA_clr_Actinomyces,5 Years,0.568525277400443,0.168534087591686,0.817684400565772
Saliva,RA_clr_Haemophilus,1 Month,0.921397054559556,0.822166070822413,0.964601875987179
Saliva,RA_clr_Haemophilus,12 Months,0.905299507829154,0.782559100718537,0.963306756541396
Saliva,RA_clr_Haemophilus,5 Years,0.930414461172095,0.856677436677314,0.971200805177437
Saliva,RA_clr_Granulicatella,1 Month,0.834198276774665,0.658687549606946,0.933951909939269
Saliva,RA_clr_Granulicatella,12 Months,0.718565244843579,0.392197484016203,0.919285833745772
Saliva,RA_clr_Granulicatella,5 Years,0.683440947921866,0.361807566812539,0.902842304766129
